language,N0,N1,N2,N3,N4,N5,N6,N7,N8,N9
English,zero,one,two,three,four,five,six,seven,eight,nine
Abkhaz,,акы (akʼə),ҩба (jʷba),хҧа (xpa),ҧшьба (pšba),хуба (xuba),фба (fba),быжьба (bəžba),ааба (aaba),жәба (ẑʷba)
Afrikaans,nul,een,twee,drie,vier,vyf,ses,sewe,ag,nege
Albanian,zero,një,dy,tre,katër,pesë,gjashtë,shtatë,tetë,nëntë
Alutiiq,,all'inguq allringuq allriluq,mal'uk,pingayun,staaman,talliman,arwilgen,mallrungin,inglulgen,qulnguyan
American Sign Language,,1@Side-PalmForward,V@Side-PalmForward,,4@Side-PalmBack,,,,,
Amharic,ባዶ (bado),አንድ (ʾänd),ሁለት (hulät),ሦስት (śost),አራት (ʾärat),አምስት (ʾämsət),ስድስት (sədsət),ሰባት (säbat),ስምንት (səmnət),ዘጠኝ (zäṭäñ)
Ancient Greek,μηδέν (mēdén),εἷς (heîs),δύο (dúo),τρεῖς (treîs),"τέσσαρες (téssares), τέτταρες (téttares)",πέντε (pénte),ἕξ (héx),ἑπτά (heptá),ὀκτώ (oktṓ),ἐννέα (ennéa)
Arabic,صِفْر‎ (ṣifr),وَاحِد‎ (wāḥid),اِثْنَان‎ (iṯnān),ثَلَاثَة‎ (ṯalāṯa),أَرْبَعَة‎ (ʾarbaʿa),خَمْسَة‎ (ḵamsa),سِتَّة‎ (sitta),سَبْعَة‎ (sabʿa),ثَمَانِيَة‎ (ṯamāniya),تِسْعَة‎ (tisʿa)
Aramaic,,"חד‎, ܚܕ‎ (ħad) (m) חדא‎, ܚܕܐ‎ (ħdā’) (f)","תרין‎, ܬܪܝܢ‎ (trēn) (m) תרתין‎, ܬܪܬܝܢ‎ (tartēn) (f)","תלתא‎, ܬܠܬܐ‎ (tlātā’) (m) תלת‎, ܬܠܬ‎ (tlāt) (f)","ארבעא‎, ܐܪܒܥܐ‎ (’arbʕā’) (m) ארבע‎, ܐܪܒܥ‎ (’arbaʕ) (f)",ܚܡܫܐ‎ (ħamšā’) (m) ܚܕܐ‎ (ħamiš) (f),"שתא‎, ܫܬܐ‎ (štā’) (m) שת‎, ܫܬ‎ (šit) (f)",ܫܒܥܐ‎ (šabʕā’) (m) ܫܒܥ‎ (šbaʕ) (f),"תמניא‎, ܬܡܢܝܐ‎ (tmānyā’) (m) תמנא‎, ܬܡܢܐ‎ (tmāne’) (f)","תשעא‎, ܬܫܥܐ‎ (tišʕā’) (m) תשע‎, ܬܡܢܐ‎ (tšaʕ) (f)"
Armenian,զրո (zro),մեկ (mek),երկու (erku),երեք (erekʿ),չորս (čʿors),հինգ (hing),վեց (vecʿ),յոթ (yotʿ),ութ (utʿ),ինը (inə)
Assamese,"শূন্য (xuinno), শূইন (xuin)",এক (ek),দুই (dui),তিনি (tini),চাৰি (sari),পাঁচ (pãs),ছয় (soy),সাত (xat),আঠ (ath),ন (no)
Asturian,cero,un,dos,tres (trés),cuatro,cinco,seis,siete,ocho,nueve
Azeri,sıfır,bir,iki,üç,dörd,beş,altı,yeddi,səkkiz,doqquz
Basque,zero huts,bat,bi,hiru,lau,bost,sei,zazpi,zortzi,bederatzi
Belarusian,нуль (nulʹ),адзі́н (adzín),два (dva),тры (try),чаты́ры (čatýry),пяць (pjacʹ),шэсць (šescʹ),сем (sjem),во́сем (vósjem),дзе́вяць (dzjévjacʹ)
Bengali,শূন্য (śunjô)  (shunno),এক (ek)  (êk),দুই (dui)  (dui),তিন (tin)  (tin),চার (car)  (car),পাঁচ (pãcô)  (pãc),ছয় (chôẏ)  (chôẏ),সাত (śat)  (shat),আট (aṭ)  (aţ),নয় (nôẏ)  (nôẏ)
Breton,mann zero,unan,daou div,tri teir,pevar peder,pemp,c'hwec'h,seizh,eizh,nav
Bulgarian,ну́ла (núla),едно́ (ednó),две (dve),три (tri),че́тири (čétiri),пет (pet),шест (šest),се́дем (sédem),о́сем (ósem),де́вет (dévet)
Burmese,သုည (su.nya.),တစ် (tac),နှစ် (hnac),သုံး (sum:),လေး (le:),ငါး (nga:),ခြောက် (hkrauk),ခုနစ် (hku.nac),ရှစ် (hrac),ကိုး (kui:)
Catalan,zero,un,dos,tres,quatre,cinc,sis,set,vuit,nou
Cebuano,"wala, sero","usa, uno","duha, dos","tulo, tres","upat, kwatro","lima, singko","unom, sayis or sais","pito, siyete","walo, otso","siyam, nuybe"
Chechen,нул (nul),цхьаъ (cḥʳaʔ),шиъ (šiʔ),кхоъ (qoʔ),диъ (diʔ),пхиъ (pxiʔ),йалх (jalx),ворхӏ (vorh),бархӏ (barh),исс (iss)
Cherokee,"ᎧᏂᎩᏛ (kanigidv), Ꮭ ᎪᎱᏍᏗ (tla gohusdi)",ᏌᏊᎢ (saquui),ᏔᎵ (tali),ᏦᎢ (tsoi),ᏅᎩ (nvgi),ᎯᏍᎩ (hisgi),ᏑᏓᎵ (sudali),ᎦᎵᏉᎩ (galiquogi),ᏧᏁᎳ (tsunela),ᏐᏁᎳ (sonela)
Chinese (Cantonese),"零, 〇  (ling4)",一  (jat1),二  (ji6),三  (saam1),四  (sei3),五  (ng5),六  (luk6),七  (cat1),八  (baat3),九  (gau2)
Chinese (Mandarin),"零, 〇  (líng)",一  (yī),二  (èr),三  (sān),四  (sì),五  (wǔ),六  (liù),七  (qī),八  (bā),九  (jiǔ)
Chuvash,,пӗрре (pĕrre),иккӗ (ikkĕ),виҫҫӗ (viśśĕ),тӑваттӑ (tăvattă),пиллӗк (pillĕk),улттӑ (ulttă),ҫиччӗ (śiččĕ),саккӑр (sakkăr),тӑххӑр (tăhhăr)
Coptic (Bohairic),,ⲟⲩⲁⲓ m (ouai)ⲟⲩⲓ f (oui),ⲥⲛⲁⲩ m (snau)ⲥⲛⲟⲩϯ f (snouti),ϣⲟⲙⲧ m (šomt)ϣⲟⲙϯ f (šomti),ϥⲧⲟⲟⲩ m (ftoou)ϥⲧⲟⲉ f (ftoe),ⲧⲓⲟⲩ m (tiou)ⲧⲓⲉ f (tie),ⲥⲟⲟⲩ m (soou)ⲥⲟ f (so),ϣⲁϣϥ m (šašf)ϣⲁϣϥⲓ f (šašfi),ϣⲙⲏⲛ m (šmēn)ϣⲙⲏⲛⲓ f (šmēni),ⲯⲓⲧ m (psit)ⲯⲓϯ f (psiti)
Coptic (Sahidic),,ⲟⲩⲁ m (oua)ⲟⲩⲉⲓ f (ouei),ⲥⲛⲁⲩ m (snau)ⲥⲛⲧⲉ f (snte),ϣⲟⲙⲛⲧ m (šomnt)ϣⲟⲙⲧⲉ f (šomte),"ϥⲧⲟⲟⲩ m (ftoou)ϥⲧⲟ f (fto), ϥⲧⲟⲉ f (ftoe)","ϯⲟⲩ m (tiou)ϯ f (ti), ϯⲉ f (tie)","ⲥⲟⲟⲩ m (soou)ⲥⲟ f (so),ⲥⲟⲉ f (soe)",ϣⲁϣϥ m (šašf)ϣⲁϣϥⲉ f (šašfe),ϣⲙⲟⲩⲛ m (šmoun)ϣⲙⲟⲩⲛⲉ f (šmoune),ⲯⲓⲥ m (psis)ⲯⲓⲧⲉ f (psite)
Corsican,zeru,unu,dui,trè,quattru,cinqui,sei,setti,ottu,novi
Crimean Tatar,sıfır,bir,eki,üç,dört,beş,altı,yedi,sekiz,doquz
Czech,nula,jeden,dva,tři,čtyři,pět,šest,sedm,osm,devět
Danish,nul,en,to,tre,fire,fem,seks,syv,otte,ni
Dutch,nul,een,twee,drie,vier,vijf,zes,zeven,acht,negen
Egyptian,nfrw,,,,,wꜥ,,,snwj,
Esperanto,nul,unu,du,tri,kvar,kvin,ses,sep,ok,naŭ
Estonian,null,üks,kaks,kolm,neli,viis,kuus,seitse,kaheksa,üheksa
Evenki,,умун (umun),дюр (ʒur),илан (ilan),дыгин (digin),тунӈа (tunŋa),нюнун (ņunun),надан (nadan),дяпкун (ʒapkun),егин (jegin)
Faroese,null,"eitt (n) ein (m,f)",tvey (n) tveir (m) tvær (f),trý (n) tríggir (m) tríggjar (f),fýra,fimm,seks,sjey,átta,níggju
Finnish,nolla,yksi,kaksi,kolme,neljä,viisi,kuusi,seitsemän,kahdeksan,yhdeksän
French,zéro,un,deux,trois,quatre,cinq,six,sept,huit,neuf
Galician,cero,"un, unha","dous, dúas",tres,catro,cinco,seis,sete,oito,nove
Garo,suino,sa,gni,gittam,bri,bonga,dok,sni,chet,sku
Georgian,ნული (nuli),ერთი (erti),ორი (ori),სამი (sami),ოთხი (otxi),ხუთი (xuti),ექვსი (ekvsi),შვიდი (švidi),რვა (rva),ცხრა (cxra)
German,null,eins,zwei,drei,vier,fünf,sechs,sieben,acht,neun
Greek,μηδέν (midén),ένα (éna),δύο (dýo),τρία (tría),τέσσερα (téssera),πέντε (pénte),έξι (éxi),επτά (eptá),οκτώ (októ),εννέα (ennéa)
Gujarati,શૂન્ય (śūnya),એક (eka),બે (be),ત્રણ (traṇ),ચાર (cār),પાંચ (pā̃c),છ (cha),સાત (sāt),આઠ (āṭha),નવ (nav)
Hawaiian,ole,kahi,lua,kolu,hā,lima,ono,hiku,walu,iwa
Hebrew,אֶפֶס‎ (éfes),אֶחָד‎ (ekhád),שְׁתַּיִם‎ (shtáyim),שָׁלוֹשׁ‎ (shalósh),אַרְבַּע‎ (arbá),חָמֵשׁ‎ (khamésh),שֵׁשׁ‎ (shésh),שֶׁבַע‎ (shéva'),שְׁמוֹנֶה‎ (shmóne),תֵּשַׁע‎ (téisha')
Hindi,"शून्य (śūnya), सिफ़र (sifar)",एक (ek),दो (do),तीन (tīn),चार (cār),"पाँच (pā̃c), पांच (pāñc)","छै (chai), छः (chaḥ)",सात (sāt),आठ (āṭh),नौ (nau)
Hungarian,nulla,egy,kettő,három,négy,öt,hat,hét,nyolc,kilenc
Icelandic,núll,einn,tveir,þrír,fjórir,fimm,sex,sjö,átta,níu
Indonesian,nol,satu,dua,tiga,empat,lima,enam,tujuh,delapan,sembilan
Interlingua,zero,un,duo,tres,quatro,cinque,sex,septe,octo,novem
Irish,neamhní nialas,aon,dó,trí,ceathair ceithre,cúig,sé,seacht,ocht,naoi
Italian,zero,uno,due,tre,quattro,cinque,sei,sette,otto,nove
Japanese,"零, 〇, ゼロ  (れい, rei), (zero)","一  (いち, ichi)","二  (に, ni)","三  (さん, san)","四  (し, shi, よん, yon)","五  (ご, go)","六  (ろく, roku)","七  (しち, shichi, なな, nana)","八  (はち, hachi)","九  (く, ku, きゅう, kyū)"
Javanese,nol,siji,loro,telu,papat,lima,enem,pitu,wolu,sanga
Kannada,ಸೊನ್ನೆ (sonne),ಒಂದು (ondu),ಎರಡು (eraḍu),ಮೂರು (mūru),ನಾಲ್ಕು (nālku),ಐದು (aidu),ಆರು (āru),ಏಳು (ēḷu),ಎಂಟು (eṇṭu),ಒಂಭತ್ತು (ombhattu)
Karachay-Balkar,ноль (nolʹ),бир (bir),эки (eki),юч (üç),тёрт (tört),беш (beş),алты (altı),джети (ceti),сегиз (segiz),тогъуз (toğuz)
Karelian,nolʹa,yksi,kaksi,kolme,nelʹlʹä,viisi,kuusi,seiččemen,kaheksa,yhekšän
Kazakh,нөл (nöl),бір (bır),екі (ekı),үш (üş),төрт (tört),бес (bes),алты (alty),жеті (jetı),сегіз (segız),тоғыз (toğyz)
Khmer,សូន្យ (son),មួយ (muəy),ពីរ (pii),បី (bei),បួន (buən),ប្រាំ (pram),ប្រាំមួយ (pram muəy),ប្រាំពីរ (pram pii),ប្រាំបី (pram bəi),ប្រាំបួន (pram buən)
Komi-Zyrian,ӧти (öti),кык (kyk),куим (kuim),нёль (njolʹ),вит (vit),квайт (kvajt),сизим (sizim),кӧкъямыс (kökʺjamys),ӧкмыс (ökmys),дас (das)
Korean,"영 (零, yeong), 공 (空, gong)","하나 (hana) 일 (一, il)","둘 (dul) 이 (二, i)","셋 (set) 삼 (三, sam)","넷 (net) 사 (四, sa)","다섯 (daseot) 오 (五, o)","여섯 (yeoseot) 육 (六, yuk), NK: 륙 (六, ryuk)","일곱 (ilgop) 칠 (七, chil)","여덟 (yeodeol) 팔 (八, pal)","아홉 (ahop) 구 (九, gu)"
Kyrgyz,нөль (nölʹ),бир (bir),эки (eki),үч (üç),төрт (tört),беш (beş),алты (altı),жети (jeti),сегиз (segiz),тогуз (toguz)
Lakota,tákuni,waŋží,núŋpa,yámni,tópa,záptaŋ,šákpe,šakówiŋ,šaglóǧaŋ,napčíyuŋka
Lao,ສູນ (sūn),ໜຶ່ງ (nưng),ສອງ (sǭng),ສາມ (sām),ສີ່ (sī),ຫ້າ (hā),ຫົກ (hok),ເຈັດ (chet),ແປດ (pǣt),ເກົ້າ (kao)
Latin,nihil,ūnus,duo,trēs,quattuor,quīnque,sex,septem,octō,novem
Latvian,nulle,viens,divi,trīs,četri,pieci,seši,septiņi,astoņi,deviņi
Lithuanian,nulis,vienas,du,trys,keturi,penki,šeši,septyni,aštuoni,devyni
Lojban,no,pa,re,ci,vo,mu,xa,ze,bi,so
Luxembourgish,null,eent,zwee,dräi,véier,fënnef,sechs,siwen,aacht,néng
Macedonian,ну́ла (núla),е́ден (éden),два (dva),три (tri),чети́ри (četíri),пет (pet),шест (šest),се́дум (sédum),о́сум (ósum),де́вет (dévet)
Malagasy,aotra,isa iray,roa,telo,efatra,dimy,enina,fito,valo,sivy
Malay,nol,satu,dua,tiga,empat,lima,enam,tujuh,lapan,sembilan
Malayalam,പൂജ്യം (pūjyaṃ),ഒന്നു (onnu),രണ്ടു (raṇṭu),മൂന്നു (mūnnu),നാലു (nālu),അഞ്ചു (añcu),ആറു (āṟu),ഏഴു (ēḻu),എട്ടു (eṭṭu),ഒന്പതു (onpatu)
Maltese,żero,wieħed,tnejn,tlieta,erbgħa,ħamsa,sitta,sebgħa,tmienja,disgħa
Manchu,,ᡝᠮᡠ (emu),ᠵᡠᠸᡝ (juwe),ᡳᠯᠠᠨ (ilan),ᡩᡠᡳᠨ (duin),ᠰᡠᠨᠵᠠ (sunja),ᠨᡳᠩᡤᡠᠨ (ninggun),ᠨᠠᡩᠠᠨ (nadan),ᠵᠠᡴᡡᠨ (jakūn),ᡠᠶᡠᠨ (uyun)
Manx,neunhee,unnane,jees daa ghaa,three,kiare,queig,shey,shiaght,hoght,nuy
Maori,kore,tahi,rua,toru,whā,rima,ono,whitu,waru,iwa
Mapudungun,sero,kiñe,epu,kvla,meli,kecu,kayu,reqle,pura,ayja
Mari (Eastern),ноль (nolʹ),ик (ik),кок (kok),кум (kum),ныл (nyl),вич (vič),куд (kud),шым (šym),кандаш (kandaš),индеш (indeš)
Mongolian,тэг (teg),нэг (neg),хоёр (xojor),гурав (gurav),дөрөв (döröv),тав (tav),зургаа (zurgaa),долоо (doloo),найм (najm),ес (jes)
Nanai,,эмун,дюэр,илан,дуин,тойнга,нюнгун,надан,дякпун,хуюн
Navajo,"názbąs, ádin","tʼááłáʼí, łáaʼii",naaki,tááʼ,dį́į́ʼ,ashdlaʼ,hastą́ą́,tsostsʼid,tseebíí,náhástʼéí
Nepali,"शून्य (śūnya), सुन्ना (sunnā)",एक (ek),दुई (duī),तीन (tīn),चार (cār),पाँच (pā̃c),छ (cha),सात (sāt),आठ (āṭh),नौ (nau)
Northern Kurdish,sifir,yek,du,sê,çar,pênc,şeş,heft,heşt,neh
Northern Sami,nolˈla,okta,guokte,golbma,njeallje,vihtta,guhtta,čieža,gávcci,ovcci
Norwegian  Nynorsk,null,"en, ett ein, ett",to,"tre tre, tri",fire,fem,seks,sju,åtte,ni
Novial,sero zero,un,du,tri,quar,sink,six,set,ot,nin
Occitan,zèro,"un, una","dos, doas",tres,quatre,cinc,sièis,sèt,uèch,nòu
Ojibwe,"waawiyebii'igan, gaawiin gegoo",bezhig,niizh,niswi,niiwin,naanan,ingodwaaswi,niizhwaaswi,ishwaaswi,zhaangaswi
Old English,,ān,twā,þrie,feower,fif,siex,seofon,eahta,nigon
Orok,,ге̄да,"дө̄, дӯ",ила̄,ӡӣн,тунда,нуӈу,нада,"закпу, запку",хујӯ
Ossetian,,иу (iw),дыууӕ (dywwæ),ӕртӕ (ærtæ),цыппар (cyppar),фондз (fonʒ),ӕхсӕз (æxsæz),авд (avd),аст (ast),фараст (farast)
Persian,صفر‎ (sefr),یک‎ (yek),دو‎ (do),سه‎ (se),چهار‎ (čahâr),پنج‎ (panj),شش‎ (šeš),هفت‎ (haft),هشت‎ (hašt),نه‎ (noh)
Polish,zero,jeden,dwa,trzy,cztery,pięć,sześć,siedem,osiem,dziewięć
Portuguese,zero,um,dois,três,quatro,cinco,seis,sete,oito,nove
Punjabi,ਸਿਫ਼ਰ (sifar),ਇੱਕ (ikka),ਦੋ (do),ਤਿੰਨ (tinn),ਚਾਰ (cār),ਪੰਜ (pañj),ਛੇ (che),ਸੱਤ (satta),ਅੱਠ (aṭṭha),ਨੌਂ (naũ)
Quechua,ch'usaq,huk,iskay,kimsa,tawa,pichqa,suqta,qanchis,pusaq,isqun
Rapa Nui,kokore,katahi,karua,katoru,kaha,karima,kaono,kahitu,kava'u,kaiva
Romanian,zero,unu,doi,trei,patru,cinci,șase,șapte,opt,nouă
Russian,нуль (nulʹ) ноль (nolʹ),оди́н (odín),два (dva),три (tri),четы́ре (četýre),пять (pjatʹ),шесть (šestʹ),семь (semʹ),во́семь (vósemʹ),де́вять (dévjatʹ)
Sanskrit,शून्य (śūnyá),एक (éka),द्वि (dví),त्रि (trí),चतुर् (cátur),पञ्चन् (páñcan),षष् (ṣáṣ),"सप्त (saptá), सप्तन् (saptán)",अष्ट (aṣṭá),"नवम् (návam), नवन् (návan), नव (náva)"
Serbo-Croatian,нула nula,један jedan,два dva,три tri,четири četiri,пет pet,шест šest,седам sedam,осам osam,девет devet
Sindhi,ٻُڙِي‎  (buri),هِڪُ‎,ٻَه‎  (ba),ٽي‎  (ti),چار‎  (čār),پَنجَ‎  (panja),ڇَهَه‎  (čahah),سَتَ‎  (sata),اَٺَ‎  (āta),
Sinhalese,ශුන්යය (śunyaya),එක (eka),දෙක (deka),තුන (tuna),හතර (hatara),පහ (paha),හය (haya),හත (hata),අට (aṭa),"නවය (nawaya), නමය (namaya)"
Slovak,nula,jeden,dva,tri,štyri,päť,šesť,sedem,osem,deväť
Slovene,nič,ena,dva,tri,štiri,pet,šest,sedem,osem,devet
Spanish,cero,uno,dos,tres,cuatro,cinco,seis,siete,ocho,nueve
Swahili,sifuri,moja,mbili,tatu,nne,tano,sita,saba,nane,tisa
Swedish,noll,ett,två,tre,fyra,fem,sex,sju,åtta,nio
Tagalog,"sero, wala","isa, uno","dalawa, dos",tatlo,apat,lima,anim,"pito, siyete",walo,siyam
Tahltan,łige,łakē,-,łēnt’ē,-,-,-,-,-,ts̱’ōs̱nān
Tajik,сифр (sifr),як (yak),ду (du),се (se),"чор (čor), чаҳор (čahor)",панҷ (panj),шаш (šaš),ҳафт (haft),ҳашт (hašt),"нӯҳ (nüh), нуҳ (nuh)"
Tamil,பூஜியம் (pūjiyam),ஒன்று (oṉṟu),இரண்டு (iraṇṭu),மூன்று (mūṉṟu),நான்கு (nāṉku),ஐந்து (aintu),ஆறு (āṟu),ஏழு (ēḻu),எட்டு (eṭṭu),ஒன்பது (oṉpatu)
Tatar,ноль (nol’) nol,бер (ber) ber,ике (ike) ike,өч (öç) öç,дүрт (dürt) dürt,биш (biş) biş,алты (altı) altı,җиде (cide) cide,сигез (sigez) sigez,тугыз (tuğız) tuğız
Telugu,సున్నా (sunnā),ఒకటి (okaṭi),రెండు (reṇḍu),మూడు (mūḍu),నాలుగు (nālugu),"ఐదు (aidu), అయిదు (ayidu)",ఆరు (āru),ఏడు (ēḍu),ఎనిమిది (enimidi),తొమ్మిది (tommidi)
Thai,ศูนย์ (sǔun),หนึ่ง (nʉ̀ng),สอง (sɔ̌ɔng),สาม (sǎam),สี่ (sìi),ห้า (hâa),หก (hòk),เจ็ด (jèt),แปด (bpɛ̀ɛt),เก้า (gâao)
Turkish,sıfır,bir,iki,üç,dört,beş,altı,yedi,sekiz,dokuz
Turkmen,nol,bir,iki,üç,dört,bäş,alty,ýedi,sekiz,dokuz
Udmurt,ноль (nolʹ),одӥг (odïg),кык (kyk),куинь (kuinʹ),ньыль (nʹylʹ),вить (vitʹ),куать (kuatʹ),сизьым (sizʹym),тямыс (tjamys),укмыс (ukmys)
Ukrainian,нуль (nulʹ),оди́н (odýn),два (dva),три (try),чоти́ри (čotýry),п'ять (pʺjatʹ),шість (šistʹ),сім (sim),ві́сім (vísim),де́в'ять (dévʺjatʹ)
Urdu,صفر‎  (sifr),ایک‎  (ek),دو‎  (do),تین‎  (tīn),چار‎  (cār),پانچ‎  (pāñc),"چھہ‎  (che, chah)",سات‎  (sāt),آٹھ‎  (āṭh),نو‎  (nau)
Uyghur,نۆل‎ (nöl),بىر‎ (bir),ئىككى‎ (ikki),ئۈچ‎ (üch),تۆت‎ (töt),بەش‎ (besh),ئالتە‎ (alte),يەتتە‎ (yette),سەككىز‎ (sekkiz),توققۇز‎ (toqquz)
Uzbek,"nol, sifr",bir,ikki,uch,toʻrt,besh,olti,yetti,sakkiz,toʻqqiz
Venetian,zero,uno,du,tri,quatro,cinque,sei,sete,oto,nóve
Veps,nol',üks',kaks',koume,nel'l',viž,kuz',seičeme,kahesa,ühesa
Vietnamese,"số không, zêrô",một,hai,ba,bốn,năm,sáu,bảy,tám,chín
Volapük,ser,bal,tel,kil,fol,lul,mäl,vel,jöl,zül
Võro,nulĺ,ütś,katś,kolm,nelli,viiś,kuuś,säidse,katõssa,ütessä
Wauja,aitsa ha,paunwaun,mepiaunwaun,kamaukula,mepiaunwaunwaka,paunwaun wojoku,paunwauntaputa,mepiaunwauntaputa,kamaukulataputa,mepiaunwaunwakataputa
Welsh,sero,un,dau dwy,tri tair,pedwar pedair,pump,chwech,saith,wyth,naw
West Frisian,nul,ien,twa,trije,fjouwer,fiif,seis,sân,acht,njoggen
Wolof,tus,benn,ñaar,ñatt,ñent,juróom,juróom benn,juróom ñaar,juróom ñett,juróom ñent
Yagara,,kunnar,budela burla,burla ganar mudden,budela-budela burla burla,mudden-budela,,,,
Yiddish,נול‎ (nul),איינס‎ (eyns),צוויי‎ (tsvey),דרײַ‎ (dray),פֿיר‎ (fir),פֿינף‎ (finf),זעקס‎ (zeks),זיבן‎ (zibn),אַכט‎ (akht),נײַן‎ (nayn)
Yup'ik,caunateng,atauciq,malruk,pingayun,cetaman,talliman,arvinlegen,malrunlegen,pingayunlegen,qulngunritaraan
